Test,TestNumber,Display,Trial,TrueValue,Subject,Response
"Veritcal Distance, Aligned",1,1,D,0.8,38,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,39,0.85
"Veritcal Distance, Aligned",1,1,D,0.8,40,0.65
"Veritcal Distance, Aligned",1,1,D,0.8,41,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,42,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,43,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,44,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,45,0.85
"Veritcal Distance, Aligned",1,1,D,0.8,46,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,47,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,48,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,49,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,50,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,51,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,52,0.85
"Veritcal Distance, Aligned",1,1,D,0.8,53,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,54,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,55,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,56,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,57,0.85
"Veritcal Distance, Aligned",1,1,D,0.8,58,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,59,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,60,0.7
"Veritcal Distance, Aligned",1,1,D,0.8,61,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,62,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,63,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,64,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,65,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,66,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,67,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,68,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,69,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,70,0.6
"Veritcal Distance, Aligned",1,1,D,0.8,71,0.7
"Veritcal Distance, Aligned",1,1,D,0.8,72,0.5
"Veritcal Distance, Aligned",1,1,D,0.8,73,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,74,0.7
"Veritcal Distance, Aligned",1,1,D,0.8,75,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,76,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,77,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,78,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,79,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,80,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,81,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,82,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,83,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,84,0.7
"Veritcal Distance, Aligned",1,1,D,0.8,85,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,86,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,87,0.7
"Veritcal Distance, Aligned",1,1,D,0.8,88,0.8
