Date,Open,High,Low,Close,Volume,Adj Close
6/4/1993,113,114,112,112.75,53248000,2.65
6/3/1993,114,114.75,112.75,113.87,50803200,2.68
6/2/1993,115,116,113.75,114.75,80611200,2.7
6/1/1993,111,115.87,110.75,115.5,134483200,2.72
5/28/1993,112.5,112.5,109.25,110.87,67561600,2.61
5/27/1993,111.5,113.5,111.5,112.75,144156800,2.65
5/26/1993,106.25,110.75,105.5,110.5,167446400,2.6
5/25/1993,103.75,104.5,102.75,103.75,52137600,2.44
5/24/1993,103.5,105.25,102,104,51654400,2.45
5/21/1993,104.12,105,103.25,103.5,63763200,2.43
5/20/1993,104.75,105,103.5,104.25,53545600,2.45
5/19/1993,102,105.75,101.75,104.5,111481600,2.46
5/18/1993,100,101.25,99.5,101.25,78041600,2.38
5/17/1993,98,99.37,97.5,99,39030400,2.33
5/14/1993,98,99.25,97.5,97.5,54035200,2.29
5/13/1993,97.5,98.25,96,97.87,75910400,2.3
5/12/1993,99.25,99.5,97.62,98,51830400,2.3
5/11/1993,101,101.5,99.12,99.5,117996800,2.34
5/10/1993,102.75,103.5,102,102.5,79980800,2.41
5/7/1993,101,102.75,100.75,102,71398400,2.4
5/6/1993,103.25,103.75,101,101.25,94188800,2.38
5/5/1993,101.25,103,99.5,101.5,107324800,2.39
5/4/1993,97.5,102.5,97.5,101.37,138217600,2.38
5/3/1993,95.75,97.75,95.25,97,69446400,2.28
4/30/1993,96.25,97.75,94.75,95.12,92723200,2.24
4/29/1993,94.25,96.25,92.75,95.75,94774400,2.25
4/28/1993,92.75,95,92.62,94.5,123785600,2.22
4/27/1993,87.5,92.25,87.5,92,268764800,2.16
4/26/1993,91.37,92.75,85.5,87.37,371200000,2.05
4/23/1993,96,96.25,92,92.75,310691200,2.18
4/22/1993,101,101.75,95.75,96,221980800,2.25
4/21/1993,101.5,102.75,101,102.75,94544000,2.41
4/20/1993,98.25,102.37,98,101,246729600,2.37
4/19/1993,100.5,101,94.75,97.75,567708800,2.3
4/16/1993,111.75,111.87,109.25,110,159964800,2.58
4/15/1993,112,112.5,111.25,111.62,123148800,2.62
4/14/1993,112.25,113.75,110.5,112.75,127923200,2.65
4/13/1993,117.5,118,111.25,112.62,184787200,2.64
4/12/1993,113.75,121,113.75,117.5,187472000,2.76
4/8/1993,114.25,115,112,113,70963200,2.65
4/7/1993,111.5,114,111,114,88096000,2.68
4/6/1993,111.5,112.75,110.75,111.5,83731200,2.62
4/5/1993,108,110.25,107.25,110.12,78742400,2.59
4/2/1993,110.5,111.62,106,107.5,185769600,2.52
4/1/1993,114.87,115.25,111.25,111.5,104662400,2.62
3/31/1993,116,116.75,115,115,56995200,2.7
3/30/1993,114.5,115.75,114,115.5,52864000,2.71
3/29/1993,114.25,116,114,114.25,46579200,2.68
3/26/1993,116.25,116.5,114,114.12,48230400,2.68
3/25/1993,115,116,113.75,115.37,69315200,2.71
3/24/1993,112.5,114.25,112.25,114.25,84268800,2.68
3/23/1993,114,115.25,112,112.5,116403200,2.64
3/22/1993,114,114,111.25,113,129923200,2.65
3/19/1993,116,116.5,113.75,113.75,94777600,2.67
3/18/1993,116,116.75,115.25,115.75,117177600,2.72
3/17/1993,119.75,119.75,114.5,114.75,164188800,2.7
3/16/1993,119.5,121.25,119,119.75,100659200,2.81
3/15/1993,118.25,118.75,117.37,118.62,36416000,2.79
3/12/1993,116.5,118.25,115,117.62,64838400,2.76
3/11/1993,117.75,118.75,116.75,116.87,62915200,2.74
3/10/1993,118,118,116,117.12,86713600,2.75
3/9/1993,117.5,118.87,116.25,118,102092800,2.77
3/8/1993,116,119.75,116,119,89987200,2.79
3/5/1993,118.5,118.75,115.75,115.75,109628800,2.72
3/4/1993,119.75,120.25,117.25,118.62,63977600,2.79
3/3/1993,119.25,121.25,117.5,119.87,137084800,2.82
3/2/1993,115.25,120,114,119.5,94083200,2.81
3/1/1993,116.75,117,114.75,115.25,97376000,2.71
2/26/1993,117.75,119.5,116,116.5,127846400,2.74
2/25/1993,117.5,120,117,118,136691200,2.77
2/24/1993,112.5,118,112,117.75,133068800,2.77
