TRACTFIPS10,Tract ID IHS,City -Suburb,Community Area,Median Household Income ,Median Family Income , Median Gross Rent , Median Home Value ,Share of  Married-Couple family with householder 15to34years,Share of Nonfamily Households15to34years,Share of Householder Aged 15to34 ,Share of Householder Aged 65,Share of households with Social Security Income,Share of households with Retirement Income,Share Family Households,share with Cash Public Assistance or Food Stamps,Below Poverty Level perPopulation,famliyhousehold Single-Parent Households with  children under 18,share of White Alone, share of African American Alone, share ofAsian Alone,Largest Racial Category by Share of Population, share of Hispanic or Latino,share of Households Owner-occupied, share of HouseholdsRenter-occupied,share of owner-occupied  in Single Family, owner-occupied units 24,owner-occupied 5 to 49units,renter-occupiedin Single Family, renter-occupied 2to4units, renter-occupied 5to49units,renter-occupied  in 50+,"Cumulative Foreclosure Filing Activity, 2005","Cumulative Foreclosure Filing Activity, 2006","Cumulative Foreclosure Filing Activity, 2007","Cumulative Foreclosure Filing Activity, 2008","Cumulative Foreclosure Filing Activity, 2009","Cumulative Foreclosure Filing Activity, 2010","Cumulative Foreclosure Filing Activity, 2011","Cumulative Foreclosure Filing Activity, 2012","Mortgage Originations, 2008","Mortgage Originations, 2009","Mortgage Originations, 2010","Mortgage Originations, 2011","Mortgage Originations, 2012","Mortgages per 100 Residential Parcels, 2008","Mortgages per 100 Residential Parcels, 2009","Mortgages per 100 Residential Parcels, 2010","Mortgages per 100 Residential Parcels, 2011","Mortgages per 100 Residential Parcels, 2012",Violent per100 population,Property per100 population,Motor Vehicle Theft per100 population,Other per100 population,Part I Crimesper 100population,LAT,LON
17031160900,1609,Chicago,IRVING PARK,66523,89932,901,439800,0.084,0.104,0.206,0.122,0.227,0.081,0.659,0.052,0.097,0.042,0.832,0.003,0.06,White,0.259,0.634,0.366,0.712,0.155,0.132,0.079,0.28,0.64,0,2,4,10,18,29,42,54,73,143,108,115,85,122,20.5,15.5,16.5,12.2,17.5,2.3,3.9,0.8,2.9,6.2,41.9500821,-87.7226082
17031161000,1610,Chicago,IRVING PARK,53835,76875,930,469600,0.03,0.129,0.189,0.163,0.168,0.125,0.555,0.051,0.094,0.094,0.873,0.003,0.032,White,0.234,0.541,0.459,0.613,0.296,0.091,0.045,0.198,0.756,0,2,3,9,23,27,36,43,50,88,82,75,50,93,19.8,18.4,16.9,11.2,20.9,1.1,5.3,1.4,2,6.4,41.9499766,-87.7306829
17031161100,1611,Chicago,IRVING PARK,98704,107021,1165,439900,0.185,0.056,0.264,0.117,0.155,0.126,0.747,0.068,0.101,0.066,0.797,0.027,0.113,White,0.158,0.723,0.277,0.781,0.121,0.032,0.357,0.391,0.251,0,2,2,7,11,23,36,46,52,91,93,102,80,98,15.7,16,17.6,13.8,16.9,2,4.3,0.8,3.4,6.2,41.94988,-87.738155
17031161200,1612,Chicago,IRVING PARK,59327,60543,1010,293100,0.157,0.052,0.24,0.087,0.141,0.098,0.725,0.176,0.042,0.092,0.682,0.01,0.103,White,0.566,0.64,0.36,0.702,0.285,0.013,0.136,0.682,0.182,0,1,9,30,66,101,132,155,176,83,58,44,54,77,12.6,8.8,6.7,8.2,11.6,2.6,3,0.8,3.1,5.6,41.9425489,-87.7385701
17031161300,1613,Chicago,IRVING PARK,36514,46471,905,234800,0.094,0.097,0.217,0.181,0.268,0.125,0.562,0.176,0.146,0.136,0.829,0.039,0.01,White,0.554,0.315,0.685,0.512,0.456,0.032,0.04,0.608,0.339,0.013,2,6,15,31,60,80,96,108,79,59,63,44,86,11.7,8.7,9.3,6.5,12.7,3.2,4.5,1.3,3.4,7.7,41.9426994,-87.7310023
17031170100,1701,Chicago,DUNNING,46667,73661,1380,190300,0.075,0,0.083,0.541,0.535,0.323,0.506,0.017,0.068,0.027,0.903,0.031,0.053,White,0.113,0.829,0.171,0.107,0.033,0.464,0,0.068,0.318,0.614,0,0,3,9,23,42,51,61,59,49,58,51,63,6.2,5.2,6.1,5.4,6.7,0.9,2.8,0.2,1.4,3.7,41.9558596,-87.7948168
17031170200,1702,Chicago,DUNNING,62851,64189,1014,233900,0.053,0.029,0.172,0.155,0.31,0.094,0.787,0.107,0.054,0.102,0.834,0,0.021,White,0.274,0.759,0.241,0.888,0.062,0.05,0.193,0.668,0.139,0,3,7,24,47,82,115,136,157,133,115,87,77,105,12.4,10.7,8.1,7.2,9.8,1.1,1.6,0.6,1.9,2.7,41.9493528,-87.7815188
17031170300,1703,Chicago,DUNNING,57950,63894,975,267200,0.097,0,0.122,0.281,0.304,0.149,0.74,0.027,0.179,0.093,0.865,0,0.038,White,0.188,0.74,0.26,0.897,0.074,0.029,0.296,0.354,0.35,0,9,19,39,81,133,172,207,230,167,144,152,132,157,10.7,9.2,9.7,8.4,10,1.2,2.2,0.6,1.9,3.4,41.9491248,-87.7968278
17031170400,1704,Chicago,DUNNING,64815,71882,857,251800,0.066,0.049,0.162,0.242,0.316,0.114,0.75,0.092,0.172,0.045,0.91,0.003,0.039,White,0.159,0.855,0.145,0.852,0.043,0.066,0.25,0.324,0.412,0.015,9,18,27,59,114,153,187,215,217,142,142,108,149,15.8,10.3,10.3,7.9,10.8,0.9,2,0.4,2.1,2.9,41.9489081,-87.8127107
17031170500,1705,Chicago,DUNNING,77802,88684,1219,272100,0.106,0.045,0.173,0.263,0.29,0.236,0.693,0.025,0.055,0.089,0.927,0.023,0.008,White,0.208,0.792,0.208,0.83,0.135,0.036,0.333,0.549,0.118,0,12,22,42,79,115,170,204,221,199,178,178,139,203,11.5,10.3,10.3,8,11.7,1,1.4,0.2,1.3,2.4,41.9500779,-87.8288957
